id,entities
0,"['training', 'mảng học tập', 'hoạt động', 'cách giao tiếp giữa em và thành viên CLB', 'code', 'nỗ lực', 'giờ đánh giá', 'đánh giá', 'điểm tiến bộ']"
1,"['CLB ProPTIT', 'Team AI', 'Team Mobile', 'Team Data', 'Team Game', 'Team Web', 'Team Backend', 'Java']"
2,"['CLB', 'fanpage', 'vòng CV', 'vòng Phỏng vấn', 'vòng Traning', 'Thông tin', 'Các bạn', 'Hãy theo dõi']"
3,"['CLB', 'CNTT', 'mảng']"
4,"['Câu lạc bộ Lập Trình PTIT (Programming PTIT)', 'PROPTIT', '9/10/2011', 'Chia sẻ để cùng nhau phát triển', 'sinh viên', 'Học viện', 'Lập Trình PTIT - Lập trình từ trái tim']"
5,"['Giải Khuyến Khích - Top 6 P-Innovation 2024', 'Jury Choice Award | Fossasia Hackathon 2024', 'Giải Nhì AI VietFuture 2023', 'Giải Nhì Kalapa Challenge Medical Question Answering 2023', 'Giải Khuyến Khích AI Tetris PTIT 2023', 'Giải Nhất ICPC PTIT 2023', '1st Runner-Up Junction Hackathon 2023 x Viettel', 'Huy chương vàng Olympic Toán 2023', 'Huy chương bạc Olympic Toán 2023', 'Giải Nhì ICPC PTIT 2022', 'Giải Ba Chuyên Tin 2022', 'Giải Ba ICPC Regional 2022', 'Giải Nhì UAVS Hackatrix 2021', 'Giải Nhì Cuộc Thi AICOVIDVN-115M Challenge', 'Giải Nhì ICPC PTIT 2020', 'Giải Nhìn ICPC National 2020', 'Giải Nhất ICPC 2020', 'Top 3 Cuộc Thi GameJam Hà Nội 2020', 'Giải Nhì Cuộc Thi Digital Race PTIT 2020', 'Giải Nhìn Cuộc Thi Vietnam AI Grand Challenge National 2019', 'Giải Nhì Kì Thi ICPC Asia Đà Nẵng 2019', 'Giải Ba - Huy Chương Đồng Vòng Quốc Tế 2019', 'Giải Nhất Phần thi AI - Code Battle 2019', 'Giải Ba Coding Inspiration 2018', 'Giải Vô Địch Chuyên Tin Olympic Tin Học Sinh Viên Việt Nam 2018']"
6,"['CLB', 'mảng']"
7,"['CLB', 'thành viên', 'team dự án', 'kỹ năng cần thiết']"
8,"['Câu lạc bộ Lập Trình PTIT (Programming PTIT)', 'PROPTIT', '9/10/2011']"
9,"['thành viên', 'CLB', 'tình thần', 'tôn trọng']"
